Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,22.0,25.0,10.795,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,11.43,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,22.0,25.0,12.065,0.9,19.8,17.4768,12.0957,0.1577,0.1501,15.0965
0,27.2,32.0,6.985,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,7.62,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,8.255,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,8.89,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,9.525,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,10.16,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,10.795,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,11.43,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,12.065,0.3,8.16,18.2251,8.256,0.1109,0.3372,34.7378
0,27.2,32.0,6.985,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,7.62,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,8.255,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,8.89,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,9.525,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,10.16,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,10.795,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,11.43,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,12.065,0.4,10.88,18.2348,8.2074,0.1103,0.2614,26.7735
0,27.2,32.0,6.985,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,7.62,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,8.255,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,8.89,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,9.525,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,10.16,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,10.795,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,11.43,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,12.065,0.5,13.6,18.2428,8.1677,0.1098,0.2131,21.7021
0,27.2,32.0,6.985,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,7.62,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
0,27.2,32.0,8.255,0.6,16.32,18.2496,8.1339,0.1094,0.1799,18.2174
