D_in_cold,D_out_cold,N_aletas,D_aleta,T_out_hot,UA_total,Efectividad
0.008,0.01,7,0.007620000000000001,18.123191975467876,8.765101493426094,0.1173005015332585
0.008,0.01,7,0.008255,18.114026938106065,8.811109661491628,0.11787331636837267
0.008,0.01,7,0.008889999999999999,18.104264646937793,8.860153379885258,0.11848345956638844
0.008,0.01,7,0.009524999999999999,18.093921276395974,8.9121584239768,0.11912992022525089
0.008,0.01,7,0.01016,18.083014787147306,8.967041744134868,0.1198115758032927
0.008,0.01,7,0.010794999999999999,18.071564875768445,9.024711642215548,0.12052719526447242
0.008,0.01,7,0.01143,18.05959290600731,9.085068037337635,0.12127544337454217
0.008,0.01,7,0.012065,18.047121822621023,9.148002817232594,0.12205488608618693
0.008,0.01,8,0.006985,18.13049812984525,8.728449152703176,0.11684386688467309
0.008,0.01,8,0.007620000000000001,18.120727799076576,8.777468237282687,0.11745451255771405
0.008,0.01,8,0.008255,18.110262496768144,8.83001686335019,0.11810859395198926
0.008,0.01,8,0.008889999999999999,18.099119362637566,8.886017742649914,0.11880503983515299
0.008,0.01,8,0.009524999999999999,18.087317632628242,8.945383323292807,0.11954264796073368
0.008,0.01,8,0.01016,18.074878595083703,9.008015914346553,0.12032008780726991
0.008,0.01,8,0.010794999999999999,18.061825524563062,9.073807917358145,0.12113590471480747
0.008,0.01,8,0.01143,18.04818359433841,9.142642161169011,0.12198852535384948
0.008,0.01,8,0.012065,18.033979768854465,9.21439233529192,0.12287626444659719
0.008,0.01,9,0.006985,18.129251287343095,8.73470258731067,0.11692179454105824
0.008,0.01,9,0.007620000000000001,18.118265301307304,8.789829007145066,0.11760841866829289
0.008,0.01,9,0.008255,18.10650197748356,8.848910090476684,0.11834362640727691
0.008,0.01,9,0.008889999999999999,18.093981414481846,8.91185593262924,0.11912616159488607
0.008,0.01,9,0.009524999999999999,18.08072608887784,8.978564995799752,0.11995461944513616
0.008,0.01,9,0.01016,18.066760796451263,9.048924281339369,0.12082745022179539
0.008,0.01,9,0.010794999999999999,18.052112567844233,9.122809624153541,0.12174296450973521
0.008,0.01,9,0.01143,18.036810559971286,9.20008610460727,0.12269934000179412
0.008,0.01,9,0.012065,18.02088592479896,9.28060857204665,0.12369462970006372
0.008,0.01,10,0.006985,18.12800487422129,8.740954495293296,0.11699969536117069
0.008,0.01,10,0.007620000000000001,18.115804480473344,8.802183807340965,0.11776221997041775
0.008,0.01,10,0.008255,18.102745374225492,8.867789358358937,0.11857841411090608
0.008,0.01,10,0.008889999999999999,18.088850787046056,8.937667989530475,0.11944682580962304
0.008,0.01,10,0.009524999999999999,18.074146612455593,9.011703525802279,0.12036583672152643
0.008,0.01,10,0.01016,18.0586613299526,9.089767003502956,0.12133366687796149
0.008,0.01,10,0.010794999999999999,18.042425900184185,9.171717035572573,0.12234838123848893
0.008,0.01,10,0.01143,18.025473632930755,9.257400308678582,0.12340789794182616
0.008,0.01,10,0.012065,18.00784002990281,9.346652205027139,0.12450999813107416
0.008,0.01,11,0.006985,18.12675889026167,8.747204877210025,0.11707756935864466
0.008,0.01,11,0.007620000000000001,18.113345334890084,8.81453264219394,0.11791591656937149
0.008,0.01,11,0.008255,18.09899268097945,8.886654682461895,0.11881295743878516
0.008,0.01,11,0.008889999999999999,18.08372746494831,8.963453952980572,0.11976703344073188
0.008,0.01,11,0.009524999999999999,18.06757917078869,9.04479899738596,0.12077630182570859
0.008,0.01,11,0.01016,18.050580134559027,9.13054423871904,0.121838741590062
0.008,0.01,11,0.010794999999999999,18.03276541670914,9.22053042353651,0.12295216145567865
0.008,0.01,11,0.01143,18.014172644289147,9.314585212419225,0.1241142097319288
0.008,0.01,11,0.012065,17.994841825465812,9.412523908236157,0.125322385908385
0.008,0.01,12,0.006985,18.125513335246296,8.75345373361955,0.11715541654710555
0.008,0.01,12,0.007620000000000001,18.110887862875245,8.826875516023373,0.11806950857029772
0.008,0.01,12,0.008255,18.095243891742996,8.905506078227678,0.11904725676606236
0.008,0.01,12,0.008889999999999999,18.078611432849243,8.989213862526414,0.12008678544692152
0.008,0.01,12,0.009524999999999999,18.061023731419937,9.077851494417983,0.12118601678625537
0.008,0.01,12,0.01016,18.04251714950908,9.171256144363445,0.1223426781556831
0.008,0.01,12,0.010794999999999999,18.023131013095735,9.269250058922108,0.12355431168151579
0.008,0.01,12,0.01143,18.002907426158117,9.37164125288678,0.12481828586511724
0.008,0.01,12,0.012065,17.98189105462336,9.4782243521718,0.1261318090860388
0.008,0.01,13,0.006985,18.12426820895729,8.759701065080288,0.11723323694016918
0.008,0.01,13,0.007620000000000001,18.10843206274876,8.839212433144475,0.11822299607820133
0.008,0.01,13,0.008255,18.09149900052597,8.924343561075606,0.11928131246712809
0.008,0.01,13,0.008889999999999999,18.073502675451948,9.014947757635012,0.12040608278425148
0.008,0.01,13,0.009524999999999999,18.05448026200736,9.110861100547888,0.12159498362453944
0.008,0.01,13,0.01016,18.034472314307322,9.211902877308153,0.12284548035579365
0.008,0.01,13,0.010794999999999999,18.013522585567387,9.317876211566606,0.12415483840203732
0.008,0.01,13,0.01143,17.991677811681086,9.428568865171272,0.12552013676993298
0.008,0.01,13,0.012065,17.968987462330062,9.543754203850245,0.12693828360437073
0.008,0.01,14,0.006985,18.12302351117694,8.765946872150383,0.1173110305514427
0.008,0.01,14,0.007620000000000001,18.105977932832843,8.851543397868289,0.11837637919794819
0.008,0.01,14,0.008255,18.087758001350153,8.943167146402244,0.1195151249156161
0.008,0.01,14,0.008889999999999999,18.068401177501755,9.040655677693687,0.12072492640614038
